order_id,customer_id,customer_email,amount,status,created_at
1001,C001,john@example.com,250.50,completed,2026-05-20T10:30:00
1002,C002,sarah@gmail.com,1500,pending,2026-05-21T09:00:00
1003,C003,mike@yahoo.com,99.99,completed,2026-05-18T14:20:00

1004,C004,invalid_email,450.25,completed,2026-05-22T11:00:00
1005,C005,anna@gmail.com,-500,completed,2026-05-19T08:00:00
1006,C006,bob@gmail,100,completed,2026-05-23T12:00:00
1007,,jenny@gmail.com,700,pending,2026-05-20T15:00:00
, C008,mark@gmail.com,800,completed,2026-05-21T16:00:00

1008,C009,alex@gmail.com,10000000,completed,2026-05-20T09:00:00
1009,C010,lisa@gmail.com,,completed,2026-05-18T12:00:00
1010,C011,tom@gmail.com,450,completed,2030-01-01T00:00:00

1011,C012,emma@gmail.com,300,completed,2026-05-22T13:00:00
1011,C012,emma_new@gmail.com,350,completed,2026-05-22T14:00:00

1012,C013,rohan@gmail.com,50,,2026-05-21T07:30:00
1013,C014,,200,pending,2026-05-19T06:00:00
1014,C015,kate@gmail.com,0,completed,2026-05-18T05:00:00
1015,C016,abc@domain,100,completed,2026-05-17T11:11:11
